Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	1.4437833	1.1479985	4.9352736	0.36062256	0.80911696	0.14867544	1.0521413	0.57466966	200.0	200.0	5000	0.53801143	0.5430841	5.5347905	-0.82312256	0.5380301	0.54302794	5.4711905	-0.58632547	-0.6923535	0.0019949174	35.68156147003174
2	1.2065105	0.98935425	3.4361832	0.3296676	8.188075	0.7643624	9.435811	7.0813184	200.0	200.0	10000	3.0701795	2.0027916	13.089736	0.26583228	3.0701697	2.0028539	13.09564	0.25934988	-3.5145261	0.008551292	70.60575151443481
3	1.5520862	1.3312167	6.0925636	0.26279065	46.17684	15.553178	82.49869	27.65946	200.0	200.0	15000	8.009979	3.5604956	20.145054	1.6227541	8.009982	3.560545	20.127249	1.6081897	-8.75196	0.024034986	105.56194806098938
4	2.081018	1.9182105	7.6828475	0.32287338	73.71077	24.371367	128.51082	44.836494	200.0	200.0	20000	14.058214	4.07204	25.859943	3.8789606	14.058214	4.0720644	25.801296	3.848852	-14.89105	0.045766316	141.17130613327026
5	1.7901722	1.8112755	8.788681	0.3103379	103.29525	35.986336	191.93616	43.86482	200.0	200.0	25000	19.411537	3.873661	30.099932	6.435621	19.411535	3.873718	29.735748	6.520339	-20.260094	0.05939505	177.64133262634277
6	1.3110524	0.80829495	3.6795511	0.3220365	28.267414	6.536006	45.809196	19.725748	200.0	200.0	30000	23.855154	3.4594772	33.854946	10.590989	23.855156	3.4596195	34.344448	10.492631	-24.668493	0.058184795	213.2094202041626
7	1.6707568	1.7330143	6.9338226	0.2943044	44.237602	18.692593	75.38893	10.865938	200.0	200.0	35000	27.513475	3.3210795	38.13636	15.627554	27.513493	3.3211715	37.884926	15.932414	-28.3014	0.062153816	248.47962427139282
8	1.2768096	1.0583476	4.6003437	0.18431818	72.46355	10.046287	95.5872	57.452137	200.0	200.0	40000	30.54158	3.372557	39.001717	19.075289	30.541578	3.3725438	39.286766	19.12439	-31.315321	0.06404871	285.032621383667
9	1.2386241	0.8503988	4.0481544	0.29565132	107.69106	25.825104	140.74985	61.83641	200.0	200.0	45000	33.09497	3.0305846	42.344395	20.930765	33.094967	3.0306911	42.27197	21.001987	-33.826725	0.06780343	320.6407380104065
10	0.896075	0.52870935	2.0190816	0.20085777	43.926064	37.130318	110.60909	8.120789	200.0	200.0	50000	34.974632	2.9198024	44.577507	22.426035	34.97464	2.9200358	44.293938	22.289703	-35.65802	0.06818286	355.7959077358246
11	2.4372497	2.6030555	11.568103	0.39748114	4.4170823	2.382282	8.888976	1.5213764	200.0	200.0	55000	36.661156	2.9759855	46.556362	22.186079	36.661148	2.9761553	46.548973	21.889915	-37.3802	0.07362741	390.68495631217957
12	1.7375934	1.3394359	4.9304233	0.26576415	3.7421863	0.482813	4.6038437	2.8557885	200.0	200.0	60000	39.205627	3.7810426	46.95969	22.478283	39.205624	3.781318	46.957542	22.815134	-40.05311	0.096034035	425.63433504104614
13	1.9777794	1.6938599	7.5753837	0.24761842	4.6915255	3.3400884	13.919602	2.169623	200.0	200.0	65000	41.114803	3.2185748	46.937527	25.957983	41.11478	3.218794	46.774406	25.806965	-41.756508	0.092143565	462.4364080429077
14	1.5476795	1.0915735	3.8699832	0.23530567	0.549466	0.148907	0.8768733	0.38251403	200.0	200.0	70000	40.428493	2.111691	46.675262	28.222544	40.42849	2.1121266	46.956734	28.310377	-40.898235	0.083504006	498.20911145210266
15	1.3077039	0.75099295	2.537054	0.38557717	27.874735	9.991356	42.213776	10.058612	200.0	200.0	75000	39.18202	1.702702	45.23047	27.985268	39.182007	1.7035527	45.158203	27.849016	-39.59661	0.07000719	534.6108055114746
16	1.2504637	1.0578123	4.469082	0.24708937	160.42615	36.24931	200.51202	101.3951	200.0	200.0	80000	37.468937	1.6945035	43.84139	23.282974	37.46892	1.6947968	43.975143	23.16616	-37.84596	0.062226042	572.7584285736084
17	1.3101093	0.90874213	4.406674	0.2754366	16.428171	4.6818533	24.435764	10.062271	200.0	200.0	85000	36.149857	1.8695999	41.785927	20.852755	36.149876	1.8698297	41.659603	20.584187	-36.550064	0.054621324	609.2070722579956
18	1.3305167	0.9106942	3.579805	0.45212013	145.57213	39.15029	201.50978	87.25893	200.0	200.0	90000	35.11793	1.9427112	42.626736	20.433655	35.117924	1.9429423	43.045227	20.39843	-35.521107	0.060469154	645.9569058418274
19	1.7868968	1.2269359	5.023065	0.33973673	97.89933	13.506889	121.188515	77.88025	200.0	200.0	95000	34.699944	2.162546	45.312447	20.230904	34.699932	2.1630468	45.296055	20.327097	-35.254814	0.10766651	682.9127111434937
20	1.4967843	1.2982295	6.175703	0.338683	0.3890467	0.11425248	0.5704135	0.2266852	200.0	200.0	100000	36.21779	2.488829	46.442654	20.547592	36.217785	2.4892473	46.24623	20.635626	-36.86749	0.13294631	719.1659772396088
21	0.41930896	0.2093671	0.9164262	0.167104	0.25849146	0.04593548	0.33772781	0.16322467	200.0	200.0	105000	36.399666	1.9742639	43.366882	21.338774	36.399677	1.9741732	43.29838	20.683193	-36.838974	0.09121306	756.7557189464569
22	1.7729565	4.7999163	24.960173	0.097375624	8.540075	7.999215	24.79447	2.009292	200.0	200.0	110000	35.16298	1.650495	39.56488	20.918692	35.162987	1.6503676	39.69966	20.898603	-35.405434	0.04510679	793.9907419681549
23	61.390297	41.807415	135.22456	0.35436848	92.13091	28.700115	132.73079	45.80005	200.0	200.0	115000	32.316414	1.485904	37.98145	20.50748	32.316406	1.4860115	38.13691	20.441936	-32.509205	0.039850686	839.4411039352417
24	90.51502	30.187893	126.56247	19.011816	61.40725	29.928562	101.93052	35.02236	200.0	200.0	120000	30.975004	2.4063456	39.22775	19.821224	30.974981	2.4065745	39.090313	19.679516	-31.384256	0.06780193	886.5662047863007
25	105.47031	36.61911	202.22365	38.786972	89.2616	51.5846	182.97916	29.811487	200.0	200.0	125000	32.115936	3.5230231	40.83594	19.448317	32.115932	3.5229218	40.7262	19.63757	-32.69859	0.092851505	931.1212210655212
26	89.01238	33.354733	137.64899	20.365292	139.79367	33.415527	201.12752	92.26041	200.0	200.0	130000	34.03075	3.8708389	43.557774	19.350094	34.03075	3.871037	43.52188	19.266201	-34.636986	0.11385243	976.5255212783813
27	113.00901	45.81069	205.48265	17.480795	135.83005	33.10865	189.1414	82.08007	200.0	200.0	135000	36.062027	4.340241	46.824482	19.264801	36.06202	4.3404417	46.837467	19.249935	-36.698334	0.12238823	1023.9855532646179
28	87.01273	47.202415	181.9832	9.734936	64.90245	31.848873	110.50806	17.366259	200.0	200.0	140000	38.405025	4.90712	50.08068	19.246515	38.404987	4.907115	50.12237	18.802729	-39.12093	0.15757585	1067.3157110214233
29	70.69958	56.865547	201.8248	3.3766742	100.943726	7.6967363	115.64406	91.42047	200.0	200.0	145000	40.780758	4.9401827	52.569065	20.04455	40.780766	4.9404025	52.531925	20.330593	-41.509647	0.20853968	1108.8060986995697
30	106.75581	48.058918	201.82617	12.651856	122.03053	76.22023	201.69911	11.479904	200.0	200.0	150000	42.73794	5.0666165	55.461826	22.135284	42.737934	5.0669894	55.249836	22.451351	-43.441006	0.24375525	1151.530309677124
31	97.11004	57.04287	192.04597	7.79382	94.3841	13.588234	118.81325	69.63133	200.0	200.0	155000	44.463245	5.7835917	58.3535	24.203262	44.46319	5.78429	58.246002	24.6424	-45.18673	0.3206156	1193.939695596695
32	88.59046	43.417107	196.95679	13.895814	99.56955	22.369343	134.46126	73.04902	200.0	200.0	160000	46.61739	6.650615	61.073677	25.247252	46.617405	6.651061	61.311157	25.453281	-47.427464	0.43362832	1235.2517108917236
33	109.631836	47.259205	194.34613	14.703162	112.81287	7.1239543	121.61381	100.5221	200.0	200.0	165000	49.12749	6.9332166	63.038876	25.253069	49.127483	6.933403	63.187298	24.78574	-49.94663	0.525574	1276.2827031612396
34	103.85753	40.672062	190.6429	14.873827	84.70302	11.674774	102.641785	69.22163	200.0	200.0	170000	50.892952	7.0105906	64.80775	23.704338	50.892986	7.01081	64.78629	23.516184	-51.635643	0.57260734	1315.5913527011871
35	140.6123	43.64139	200.42665	36.480515	180.2096	26.676924	202.58154	129.05882	200.0	200.0	175000	51.5466	7.54564	67.50184	16.903446	51.54653	7.5461144	67.4405	17.558943	-52.208393	0.6174188	1360.3679010868073
36	122.91037	40.23254	190.14601	6.9202194	188.83566	20.036564	202.0191	129.96313	200.0	200.0	180000	52.176216	8.660942	69.482216	17.128443	52.176193	8.66136	69.24014	16.645441	-52.92949	0.7458238	1403.3321335315704
37	128.34042	37.582634	197.66304	51.559788	156.95337	29.299826	196.77315	119.00591	200.0	200.0	185000	53.73502	9.49133	71.21661	16.70822	53.734978	9.491313	71.70817	16.816101	-54.583538	0.81322217	1446.6054501533508
38	115.47182	46.374004	195.85712	8.833144	186.44493	19.883448	204.24828	131.40775	200.0	200.0	190000	55.492718	9.357142	72.07143	14.314657	55.49268	9.357687	72.380356	14.890465	-56.367275	0.8825368	1489.7941546440125
39	139.20685	40.75935	197.63698	45.06994	176.34659	41.583103	203.17322	93.35311	200.0	200.0	195000	56.545654	9.077438	73.5538	13.001742	56.545677	9.077775	73.39248	13.198263	-57.32549	0.87429357	1533.974802494049
40	156.17711	46.53322	206.84125	2.5622342	195.38155	5.4262266	201.4074	183.61313	200.0	200.0	200000	56.978027	9.240934	75.09314	12.0008545	56.978027	9.241404	74.75967	12.650689	-57.742443	0.87932694	1580.5330471992493
41	150.2243	45.189026	207.25809	13.45241	183.31961	21.454811	204.74341	121.25504	200.0	200.0	205000	57.422188	9.689412	78.71996	17.4968	57.422123	9.6898985	79.49188	18.429855	-58.211025	0.92819434	1626.7174799442291
42	154.39967	43.68984	200.55142	9.380098	186.72095	14.765228	198.02153	144.27792	200.0	200.0	210000	58.205704	10.25046	79.28502	19.635103	58.20565	10.251272	78.57547	14.817838	-59.043964	1.1098927	1672.5857465267181
