Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.81530285	0.6759336	3.0206535	0.095431395	200.0	-0.0149756735	0.27750313	0.92854154	-0.94690263	4000	2.2351742e-08	0.10448866	-0.02581198	-0.08009258	7.3488255	0.016413622	0.228	9.0	10.1551992893219
1	0.9217312	0.6914921	2.2913356	0.16205779	200.0	0.060626563	0.13790914	0.6194266	-0.28599522	8000	1.6763806e-08	0.027653266	-0.014847118	-0.015521795	7.3744025	0.01776007	0.2095	6.0	19.39390516281128
2	1.0865656	1.0455498	3.7398674	0.23958553	200.0	0.060465224	0.11980999	0.8043003	-0.22635588	12000	0.0	0.03262034	-0.011153368	-0.009588761	7.340992	0.018005354	0.20925	7.0	28.587551593780518
3	1.7108192	1.0002958	3.3363993	0.18479873	200.0	0.09733322	0.19612007	1.3989762	-0.24028192	16000	7.450581e-09	0.0444679	-0.016905077	-0.019162862	7.237953	0.017940678	0.21675	11.0	37.88955783843994
4	2.1547492	1.7087351	6.443981	0.3371404	200.0	0.08804059	0.24213314	1.7671146	-0.20791133	20000	2.4680048e-08	0.12412481	-0.016238708	-0.052825164	7.3195763	0.017106086	0.24724999	10.0	47.12291693687439
5	2.7879457	1.5305877	5.4878845	0.6641301	200.0	0.21186991	0.44729885	2.778021	-0.58876395	24000	-2.6077032e-08	0.18766236	-0.01702442	-0.08121818	7.284355	0.016564175	0.2435	11.0	56.523062229156494
6	2.2813725	1.4631003	5.570603	0.50018317	200.0	0.24136995	0.45370826	3.350892	-0.51285243	28000	-3.3527613e-08	0.17978144	-0.015747018	-0.123215504	7.285717	0.018703692	0.2265	7.0	65.81931614875793
7	3.5639138	1.7975185	6.9507027	0.29551202	200.0	0.09851514	0.39559332	2.852376	-0.9528388	32000	-2.2351742e-08	0.21955435	-0.013786901	-0.115877375	7.2897067	0.01962177	0.20725	6.0	75.25475192070007
8	4.5338306	2.213243	10.640728	2.132708	200.0	0.20245005	0.5980904	4.291288	-1.146232	36000	1.8626451e-08	0.6453416	-0.013227675	-0.3406701	7.2756653	0.016405398	0.21875	9.0	84.67752814292908
9	3.372706	1.7226164	6.915596	0.6934175	200.0	0.45783812	0.8421956	4.5242324	-0.7215254	40000	7.450581e-09	0.4602795	-0.014029704	-0.34657657	7.273183	0.01791882	0.25550002	6.0	94.22082185745239
10	3.4119353	1.376364	6.01294	1.1339911	200.0	0.27856344	0.55199164	3.289763	-0.49336332	44000	1.8626451e-09	0.16346195	-0.017194629	-0.06650978	7.2780085	0.016949426	0.23775	9.0	103.93580436706543
11	5.0488377	2.587141	11.5236225	1.5572067	200.0	0.24675082	0.5455455	3.362456	-0.6319799	48000	-5.5879354e-09	0.5097825	-0.012582835	-0.24750996	7.282771	0.018500568	0.2265	7.0	113.39808440208435
12	3.0403864	1.4337851	5.6452193	0.96276784	200.0	0.42324418	0.83636355	5.118372	-0.4654801	52000	-2.188608e-08	0.36332208	-0.0152413305	-0.27998108	7.206834	0.016532656	0.2035	8.0	122.93690586090088
13	4.5620584	2.2406452	9.34324	0.5994838	200.0	0.3253691	0.46563214	3.060749	-0.56497264	56000	5.5879354e-09	0.64901185	-0.012629264	-0.33143517	7.229048	0.019146953	0.19	5.0	132.4665286540985
14	5.8157287	3.9347847	13.436945	0.28018114	200.0	0.39246786	0.7714357	4.13916	-1.1252419	60000	2.5727786e-08	1.8569635	-0.009642402	-1.166645	7.2428007	0.016048783	0.18075	6.0	142.07723021507263
15	5.8413405	3.5667536	14.203755	0.9606617	200.0	0.80711937	1.0995597	5.447113	-2.4637067	64000	-8.8475645e-09	1.4023839	-0.016610028	-0.63959444	7.25284	0.015197835	0.2075	7.0	151.67137050628662
16	5.006154	3.4443228	16.875261	0.66521895	200.0	0.63573134	1.034372	5.7918053	-2.326498	68000	1.4901161e-08	0.93972987	-0.009134818	-0.47171462	7.253071	0.019125191	0.19875	4.0	161.16677403450012
17	4.896344	3.4567215	14.586602	0.88741	200.0	0.7863901	1.2053529	6.4734106	-1.992909	72000	0.0	1.4071927	-0.01205527	-0.8036332	7.272995	0.01900181	0.25	5.0	170.75223350524902
18	6.5171747	4.3482676	17.496151	1.1574314	200.0	0.6561207	1.3082513	5.3295608	-4.0095296	76000	-3.7252903e-09	2.7153747	-0.020499766	-1.9857918	7.221342	0.01591617	0.2125	12.0	180.37164640426636
19	8.839912	4.487815	17.632494	2.3179502	200.0	0.9153256	1.1689065	6.3949885	-1.9931493	80000	5.5879354e-09	3.8933349	-0.017998818	-2.378108	7.2278495	0.017551038	0.18825	11.0	190.0459885597229
20	7.0610323	4.121421	17.25088	1.8033121	200.0	1.0766367	1.7115686	7.781172	-3.0231113	84000	-2.2351742e-08	2.2664294	-0.024569359	-1.5476264	7.215467	0.016121248	0.23875	16.0	199.8182339668274
21	8.454033	5.8320265	22.828503	1.639844	200.0	1.2382156	1.4603884	6.7028527	-1.9966766	88000	1.1175871e-08	4.7586503	-0.016633151	-2.9428291	7.210508	0.016556157	0.18325	10.0	209.56320691108704
22	10.835711	8.540501	36.99151	2.144294	200.0	2.0867417	2.1236699	8.016676	-1.4446535	92000	7.450581e-09	7.829476	-0.0123158395	-4.7688475	7.232012	0.015015835	0.16075	5.0	219.18363785743713
23	11.009444	5.2934737	22.901207	3.0546281	200.0	2.4265478	2.8224497	12.445696	-3.7352757	96000	-1.1175871e-08	6.8286467	-0.038161095	-4.8038216	7.1602206	0.015157022	0.277	54.0	229.03140878677368
24	14.898645	5.915635	30.803143	4.491218	200.0	2.340194	2.4304287	9.591138	-2.8790092	100000	1.5832484e-08	9.655003	-0.0192954	-6.5936055	7.1274686	0.016998889	0.18924999	12.0	238.89008593559265
